X,Y,Z,TYPE,BOUND,com_area,mount,veg,port,h_dev,rivers,USAGE_ALL
6,225,0,sea,no_bound,N,N,N,N,N,N,
6,228,0,sea,no_bound,N,N,N,N,N,N,
6,231,0,sea,no_bound,N,N,N,N,N,N,
6,234,0,sea,no_bound,N,N,N,N,N,N,
6,237,0,sea,no_bound,N,N,N,N,N,N,
6,240,0,sea,no_bound,N,N,N,N,N,N,
6,243,0,sea,no_bound,N,N,N,N,N,N,
6,246,0,sea,no_bound,N,N,N,N,N,N,
6,249,0,sea,no_bound,N,N,N,N,N,N,
6,252,0,sea,no_bound,N,N,N,N,N,N,
6,255,0,sea,no_bound,N,N,N,N,N,N,
6,258,0,sea,no_bound,N,N,N,N,N,N,
6,261,0,sea,no_bound,N,N,N,N,N,N,
6,264,0,sea,no_bound,N,N,N,N,N,N,
6,267,0,sea,no_bound,N,N,N,N,N,N,
6,270,0,sea,no_bound,N,N,N,N,N,N,
6,273,0,sea,no_bound,N,N,N,N,N,N,
6,276,0,sea,no_bound,N,N,N,N,N,N,
6,279,0,sea,no_bound,N,N,N,N,N,N,
6,282,0,sea,no_bound,N,N,N,N,N,N,
6,285,0,sea,no_bound,N,N,N,N,N,N,
6,288,0,sea,no_bound,N,N,N,N,N,N,
6,291,0,sea,no_bound,N,N,N,N,N,N,
6,294,0,sea,no_bound,N,N,N,N,N,N,
6,297,0,sea,no_bound,N,N,N,N,N,N,
6,300,0,sea,no_bound,N,N,N,N,N,N,
6,303,0,sea,no_bound,N,N,N,N,N,N,
6,306,0,sea,no_bound,N,N,N,N,N,N,
6,309,0,sea,no_bound,N,N,N,N,N,N,
6,312,0,sea,no_bound,N,N,N,N,N,N,
6,315,0,sea,no_bound,N,N,N,N,N,N,
6,318,0,sea,no_bound,N,N,N,N,N,N,
6,321,0,sea,no_bound,N,N,N,N,N,N,
9.0,0.0,859.704.098.834,land,no_bound,N,N,N,N,N,N,
9.0,3.0,847.242.725.221,land,no_bound,N,N,N,N,N,N,
9.0,6.0,885.585.687.084,land,no_bound,N,N,N,N,N,N,
9.0,9.0,979.101.013.931,land,no_bound,N,N,N,N,N,N,
9.0,12.0,108.866.166.206,land,no_bound,N,N,N,N,N,N,
9.0,15.0,125.628.219.580,land,no_bound,N,N,N,N,N,N,
9.0,18.0,139.438.278.938,land,no_bound,N,N,N,N,N,N,
9.0,21.0,144.765.319.938,land,no_bound,N,N,N,N,N,N,
9.0,24.0,146.767.062.564,land,no_bound,N,N,N,N,N,N,
9.0,27.0,145.764.429.672,land,no_bound,N,N,N,N,N,N,
9.0,30.0,135.640.892.716,land,no_bound,N,N,N,N,N,N,
9.0,33.0,124.594.892.245,land,no_bound,N,N,N,N,N,N,
9.0,36.0,132.521.556.837,land,no_bound,N,N,N,N,N,N,
9.0,39.0,133.286.399.831,land,no_bound,N,N,N,N,N,N,
9.0,42.0,139.417.628.364,land,no_bound,N,N,N,N,N,N,
9.0,45.0,145.205.134.937,land,no_bound,N,N,N,N,N,N,
9.0,48.0,123.097.200.655,land,no_bound,N,N,N,N,N,N,
9.0,51.0,100.087.822.740,land,no_bound,N,N,N,N,N,N,
9.0,54.0,978.708.255.438,land,no_bound,N,N,N,N,N,N,
9.0,57.0,790.228.813.441,land,no_bound,N,N,veg,N,N,N,veg
9.0,60.0,626.385.635.725,land,no_bound,N,N,veg,N,N,N,veg
9.0,63.0,647.645.376.756,land,no_bound,N,N,N,N,N,N,
9.0,66.0,793.279.885.640,land,no_bound,N,N,N,N,N,N,
9.0,69.0,755.000.935.780,land,no_bound,N,N,N,N,N,N,
9.0,72.0,667.882.694.300,land,no_bound,N,N,N,N,N,N,
9.0,75.0,529.267.688.788,land,no_bound,N,N,N,N,N,N,
9.0,78.0,33.859.188.185,land,no_bound,N,N,N,N,N,N,
9.0,81.0,215.839.278.258,land,no_bound,N,N,N,N,N,N,
9.0,84.0,0.240847300832,land,no_bound,N,N,N,N,N,N,
9,87,0,sea,no_bound,N,N,N,N,N,N,
9,90,0,sea,no_bound,N,N,N,N,N,N,
9,93,0,sea,no_bound,N,N,N,N,N,N,
9,96,0,sea,no_bound,N,N,N,N,N,N,
9,99,0,sea,no_bound,N,N,N,N,N,N,
9,102,0,sea,no_bound,N,N,N,N,N,N,
9,105,0,sea,no_bound,N,N,N,N,N,N,
9,108,0,sea,no_bound,N,N,N,N,N,N,
9,111,0,sea,no_bound,N,N,N,N,N,N,
9,114,0,sea,no_bound,N,N,N,N,N,N,
9,117,0,sea,no_bound,N,N,N,N,N,N,
9,120,0,sea,no_bound,N,N,N,N,N,N,
9,123,0,sea,no_bound,N,N,N,N,N,N,
9,126,0,sea,no_bound,N,N,N,N,N,N,
9,129,0,sea,no_bound,N,N,N,N,N,N,
9,132,0,sea,no_bound,N,N,N,N,N,N,
9,135,0,sea,no_bound,N,N,N,N,N,N,
9,138,0,sea,no_bound,N,N,N,N,N,N,
9,141,0,sea,no_bound,N,N,N,N,N,N,
9,144,0,sea,no_bound,N,N,N,N,N,N,
9,147,0,sea,no_bound,N,N,N,N,N,N,
9,150,0,sea,no_bound,N,N,N,N,N,N,
9,153,0,sea,no_bound,N,N,N,N,N,N,
9,156,0,sea,no_bound,N,N,N,N,N,N,
9,159,0,sea,no_bound,N,N,N,N,N,N,
9,162,0,sea,no_bound,N,N,N,N,N,N,
9,165,0,sea,no_bound,N,N,N,N,N,N,
9,168,0,sea,no_bound,N,N,N,N,N,N,
9,171,0,sea,no_bound,N,N,N,N,N,N,
9,174,0,sea,no_bound,N,N,N,N,N,N,
9,177,0,sea,no_bound,N,N,N,N,N,N,
9,180,0,sea,no_bound,N,N,N,N,N,N,
9,183,0,sea,no_bound,N,N,N,N,N,N,
9,186,0,sea,no_bound,N,N,N,N,N,N,
9,189,0,sea,no_bound,N,N,N,N,N,N,
9,192,0,sea,no_bound,N,N,N,N,N,N,
9,195,0,sea,no_bound,N,N,N,N,N,N,
9,198,0,sea,no_bound,N,N,N,N,N,N,
9,201,0,sea,no_bound,N,N,N,N,N,N,
9,204,0,sea,no_bound,N,N,N,N,N,N,
9,207,0,sea,no_bound,N,N,N,N,N,N,
9,210,0,sea,no_bound,N,N,N,N,N,N,
9,213,0,sea,no_bound,N,N,N,N,N,N,
9,216,0,sea,no_bound,N,N,N,N,N,N,
9,219,0,sea,no_bound,N,N,N,N,N,N,
9,222,0,sea,no_bound,N,N,N,N,N,N,
9,225,0,sea,no_bound,N,N,N,N,N,N,
9,228,0,sea,no_bound,N,N,N,N,N,N,
9,231,0,sea,no_bound,N,N,N,N,N,N,
9,234,0,sea,no_bound,N,N,N,N,N,N,
9,237,0,sea,no_bound,N,N,N,N,N,N,
9,240,0,sea,no_bound,N,N,N,N,N,N,
9,243,0,sea,no_bound,N,N,N,N,N,N,
9,246,0,sea,no_bound,N,N,N,N,N,N,
9,249,0,sea,no_bound,N,N,N,N,N,N,
9,252,0,sea,no_bound,N,N,N,N,N,N,
9,255,0,sea,no_bound,N,N,N,N,N,N,
9,258,0,sea,no_bound,N,N,N,N,N,N,
9,261,0,sea,no_bound,N,N,N,N,N,N,
9,264,0,sea,no_bound,N,N,N,N,N,N,
9,267,0,sea,no_bound,N,N,N,N,N,N,
